,heur,n_filmes,n_categorias,tempo_ex,n_assistidos,tempo_tela,media
0,aleat,30,1,0.004367012006696314,1,3,3.0
0,aleat,30,2,0.004242527007590979,2,8,4.0
0,aleat,30,3,0.004125538980588317,4,16,4.0
0,aleat,30,4,0.004518397967331111,5,14,2.8
0,aleat,30,5,0.004105532018002123,7,27,3.85714
0,aleat,30,6,0.004261263995431364,5,21,4.2
0,aleat,30,7,0.004394244984723628,6,22,3.66667
0,aleat,30,8,0.004210782994050533,5,18,3.6
0,aleat,30,9,0.004197030037175864,6,20,3.33333
0,aleat,30,10,0.003939610964152962,4,17,4.25
0,aleat,30,11,0.004221503040753305,6,25,4.16667
0,aleat,30,12,0.004178889037575573,7,20,2.85714
0,aleat,30,13,0.004423526988830417,5,19,3.8
0,aleat,30,14,0.004177461029030383,7,20,2.85714
0,aleat,30,15,0.003967451979406178,5,20,4.0
0,aleat,30,16,0.004259611014276743,5,19,3.8
0,aleat,30,17,0.0045049929758533835,7,23,3.28571
0,aleat,30,18,0.004269508994184434,5,16,3.2
0,aleat,30,19,0.0045282000210136175,5,18,3.6
0,aleat,30,20,0.003989638003986329,6,19,3.16667
0,aleat,35,1,0.004003331996500492,1,4,4.0
0,aleat,35,2,0.004144693026319146,3,9,3.0
0,aleat,35,3,0.0041872760048136115,4,16,4.0
0,aleat,35,4,0.004270243982318789,5,21,4.2
0,aleat,35,5,0.0042473949724808335,7,23,3.28571
0,aleat,35,6,0.004253821040038019,6,20,3.33333
0,aleat,35,7,0.004313112003728747,5,19,3.8
0,aleat,35,8,0.0041790889808908105,6,20,3.33333
0,aleat,35,9,0.00424675497924909,5,20,4.0
0,aleat,35,10,0.004421024001203477,6,23,3.83333
0,aleat,35,11,0.003995531005784869,6,24,4.0
0,aleat,35,12,0.004054591991007328,5,18,3.6
0,aleat,35,13,0.004467972961720079,6,22,3.66667
0,aleat,35,14,0.004231946950312704,7,22,3.14286
0,aleat,35,15,0.004258890985511243,7,24,3.42857
0,aleat,35,16,0.00442596897482872,7,23,3.28571
0,aleat,35,17,0.004479374969378114,5,19,3.8
0,aleat,35,18,0.00427807099185884,5,17,3.4
0,aleat,35,19,0.004196752968709916,6,19,3.16667
0,aleat,35,20,0.00429240899393335,5,19,3.8
